I10 Dx	MDC	DRG(s)	ICD-10-CM Description
H4743	1	091-093	Disorders of optic chiasm in (due to) vascular disorders
H4749	1	091-093	Disorders of optic chiasm in (due to) other disorders
H47511	1	091-093	"Disorders of visual pathways in (due to) inflammatory disorders, right side"
H47512	1	091-093	"Disorders of visual pathways in (due to) inflammatory disorders, left side"
H47519	1	091-093	"Disorders of visual pathways in (due to) inflammatory disorders, unspecified side"
H47521	1	091-093	"Disorders of visual pathways in (due to) neoplasm, right side"
H47522	1	091-093	"Disorders of visual pathways in (due to) neoplasm, left side"
H47529	1	091-093	"Disorders of visual pathways in (due to) neoplasm, unspecified side"
H47531	1	091-093	"Disorders of visual pathways in (due to) vascular disorders, right side"
H47532	1	091-093	"Disorders of visual pathways in (due to) vascular disorders, left side"
H47539	1	091-093	"Disorders of visual pathways in (due to) vascular disorders, unspecified side"
H47611	1	091-093	"Cortical blindness, right side of brain"
H47612	1	091-093	"Cortical blindness, left side of brain"
H47619	1	091-093	"Cortical blindness, unspecified side of brain"
H47621	1	091-093	"Disorders of visual cortex in (due to) inflammatory disorders, right side of brain"
H47622	1	091-093	"Disorders of visual cortex in (due to) inflammatory disorders, left side of brain"
H47629	1	091-093	"Disorders of visual cortex in (due to) inflammatory disorders, unspecified side of brain"
H47631	1	091-093	"Disorders of visual cortex in (due to) neoplasm, right side of brain"
H47632	1	091-093	"Disorders of visual cortex in (due to) neoplasm, left side of brain"
H47639	1	091-093	"Disorders of visual cortex in (due to) neoplasm, unspecified side of brain"
H47641	1	091-093	"Disorders of visual cortex in (due to) vascular disorders, right side of brain"
H47642	1	091-093	"Disorders of visual cortex in (due to) vascular disorders, left side of brain"
H47649	1	091-093	"Disorders of visual cortex in (due to) vascular disorders, unspecified side of brain"
H479	1	091-093	Unspecified disorder of visual pathways
H4900	2	123	"Third [oculomotor] nerve palsy, unspecified eye"
H4901	2	123	"Third [oculomotor] nerve palsy, right eye"
H4902	2	123	"Third [oculomotor] nerve palsy, left eye"
H4903	2	123	"Third [oculomotor] nerve palsy, bilateral"
H4910	2	123	"Fourth [trochlear] nerve palsy, unspecified eye"
H4911	2	123	"Fourth [trochlear] nerve palsy, right eye"
H4912	2	123	"Fourth [trochlear] nerve palsy, left eye"
H4913	2	123	"Fourth [trochlear] nerve palsy, bilateral"
H4920	2	123	"Sixth [abducent] nerve palsy, unspecified eye"
H4921	2	123	"Sixth [abducent] nerve palsy, right eye"
H4922	2	123	"Sixth [abducent] nerve palsy, left eye"
H4923	2	123	"Sixth [abducent] nerve palsy, bilateral"
H4930	2	123	"Total (external) ophthalmoplegia, unspecified eye"
H4931	2	123	"Total (external) ophthalmoplegia, right eye"
H4932	2	123	"Total (external) ophthalmoplegia, left eye"
H4933	2	123	"Total (external) ophthalmoplegia, bilateral"
H4940	2	123	"Progressive external ophthalmoplegia, unspecified eye"
H4941	2	123	"Progressive external ophthalmoplegia, right eye"
H4942	2	123	"Progressive external ophthalmoplegia, left eye"
H4943	2	123	"Progressive external ophthalmoplegia, bilateral"
H49811	10	642	"Kearns-Sayre syndrome, right eye"
H49812	10	642	"Kearns-Sayre syndrome, left eye"
H49813	10	642	"Kearns-Sayre syndrome, bilateral"
H49819	10	642	"Kearns-Sayre syndrome, unspecified eye"
H49881	2	123	"Other paralytic strabismus, right eye"
H49882	2	123	"Other paralytic strabismus, left eye"
H49883	2	123	"Other paralytic strabismus, bilateral"
H49889	2	123	"Other paralytic strabismus, unspecified eye"
H499	2	123	Unspecified paralytic strabismus
H5000	2	124-125	Unspecified esotropia
H50011	2	124-125	"Monocular esotropia, right eye"
H50012	2	124-125	"Monocular esotropia, left eye"
H50021	2	124-125	"Monocular esotropia with A pattern, right eye"
H50022	2	124-125	"Monocular esotropia with A pattern, left eye"
H50031	2	124-125	"Monocular esotropia with V pattern, right eye"
H50032	2	124-125	"Monocular esotropia with V pattern, left eye"
H50041	2	124-125	"Monocular esotropia with other noncomitancies, right eye"
H50042	2	124-125	"Monocular esotropia with other noncomitancies, left eye"
H5005	2	124-125	Alternating esotropia
H5006	2	124-125	Alternating esotropia with A pattern
H5007	2	124-125	Alternating esotropia with V pattern
H5008	2	124-125	Alternating esotropia with other noncomitancies
H5010	2	124-125	Unspecified exotropia
H50111	2	124-125	"Monocular exotropia, right eye"
H50112	2	124-125	"Monocular exotropia, left eye"
H50121	2	124-125	"Monocular exotropia with A pattern, right eye"
H50122	2	124-125	"Monocular exotropia with A pattern, left eye"
H50131	2	124-125	"Monocular exotropia with V pattern, right eye"
H50132	2	124-125	"Monocular exotropia with V pattern, left eye"
H50141	2	124-125	"Monocular exotropia with other noncomitancies, right eye"
H50142	2	124-125	"Monocular exotropia with other noncomitancies, left eye"
H5015	2	124-125	Alternating exotropia
H5016	2	124-125	Alternating exotropia with A pattern
H5017	2	124-125	Alternating exotropia with V pattern
H5018	2	124-125	Alternating exotropia with other noncomitancies
H5021	2	124-125	"Vertical strabismus, right eye"
H5022	2	124-125	"Vertical strabismus, left eye"
H5030	2	124-125	Unspecified intermittent heterotropia
H50311	2	124-125	"Intermittent monocular esotropia, right eye"
H50312	2	124-125	"Intermittent monocular esotropia, left eye"
H5032	2	124-125	Intermittent alternating esotropia
H50331	2	124-125	"Intermittent monocular exotropia, right eye"
H50332	2	124-125	"Intermittent monocular exotropia, left eye"
H5034	2	124-125	Intermittent alternating exotropia
H5040	2	124-125	Unspecified heterotropia
H50411	2	124-125	"Cyclotropia, right eye"
H50412	2	124-125	"Cyclotropia, left eye"
H5042	2	124-125	Monofixation syndrome
H5043	2	124-125	Accommodative component in esotropia
H5050	2	124-125	Unspecified heterophoria
H5051	2	124-125	Esophoria
H5052	2	124-125	Exophoria
H5053	2	124-125	Vertical heterophoria
H5054	2	124-125	Cyclophoria
H5055	2	124-125	Alternating heterophoria
H5060	2	124-125	"Mechanical strabismus, unspecified"
H50611	2	124-125	"Brown's sheath syndrome, right eye"
H50612	2	124-125	"Brown's sheath syndrome, left eye"
H5069	2	124-125	Other mechanical strabismus
H50811	2	124-125	"Duane's syndrome, right eye"
H50812	2	124-125	"Duane's syndrome, left eye"
H5089	2	123	Other specified strabismus
H509	2	124-125	Unspecified strabismus
H510	2	124-125	Palsy (spasm) of conjugate gaze
H5111	2	124-125	Convergence insufficiency
H5112	2	124-125	Convergence excess
H5120	1	091-093	"Internuclear ophthalmoplegia, unspecified eye"
H5121	1	091-093	"Internuclear ophthalmoplegia, right eye"
H5122	1	091-093	"Internuclear ophthalmoplegia, left eye"
H5123	1	091-093	"Internuclear ophthalmoplegia, bilateral"
H518	2	123	Other specified disorders of binocular movement
H519	2	124-125	Unspecified disorder of binocular movement
H5200	2	124-125	"Hypermetropia, unspecified eye"
H5201	2	124-125	"Hypermetropia, right eye"
H5202	2	124-125	"Hypermetropia, left eye"
H5203	2	124-125	"Hypermetropia, bilateral"
H5210	2	124-125	"Myopia, unspecified eye"
H5211	2	124-125	"Myopia, right eye"
H5212	2	124-125	"Myopia, left eye"
H5213	2	124-125	"Myopia, bilateral"
H52201	2	124-125	"Unspecified astigmatism, right eye"
H52202	2	124-125	"Unspecified astigmatism, left eye"
H52203	2	124-125	"Unspecified astigmatism, bilateral"
H52209	2	124-125	"Unspecified astigmatism, unspecified eye"
H52211	2	124-125	"Irregular astigmatism, right eye"
H52212	2	124-125	"Irregular astigmatism, left eye"
H52213	2	124-125	"Irregular astigmatism, bilateral"
H52219	2	124-125	"Irregular astigmatism, unspecified eye"
H52221	2	124-125	"Regular astigmatism, right eye"
H52222	2	124-125	"Regular astigmatism, left eye"
H52223	2	124-125	"Regular astigmatism, bilateral"
H52229	2	124-125	"Regular astigmatism, unspecified eye"
H5231	2	124-125	Anisometropia
H5232	2	124-125	Aniseikonia
H524	2	124-125	Presbyopia
H52511	2	123	"Internal ophthalmoplegia (complete) (total), right eye"
H52512	2	123	"Internal ophthalmoplegia (complete) (total), left eye"
H52513	2	123	"Internal ophthalmoplegia (complete) (total), bilateral"
H52519	2	123	"Internal ophthalmoplegia (complete) (total), unspecified eye"
H52521	2	124-125	"Paresis of accommodation, right eye"
H52522	2	124-125	"Paresis of accommodation, left eye"
H52523	2	124-125	"Paresis of accommodation, bilateral"
H52529	2	124-125	"Paresis of accommodation, unspecified eye"
H52531	2	124-125	"Spasm of accommodation, right eye"
H52532	2	124-125	"Spasm of accommodation, left eye"
H52533	2	124-125	"Spasm of accommodation, bilateral"
H52539	2	124-125	"Spasm of accommodation, unspecified eye"
H526	2	124-125	Other disorders of refraction
H527	2	124-125	Unspecified disorder of refraction
H53001	2	124-125	"Unspecified amblyopia, right eye"
H53002	2	124-125	"Unspecified amblyopia, left eye"
H53003	2	124-125	"Unspecified amblyopia, bilateral"
H53009	2	124-125	"Unspecified amblyopia, unspecified eye"
H53011	2	124-125	"Deprivation amblyopia, right eye"
H53012	2	124-125	"Deprivation amblyopia, left eye"
H53013	2	124-125	"Deprivation amblyopia, bilateral"
H53019	2	124-125	"Deprivation amblyopia, unspecified eye"
H53021	2	124-125	"Refractive amblyopia, right eye"
H53022	2	124-125	"Refractive amblyopia, left eye"
H53023	2	124-125	"Refractive amblyopia, bilateral"
H53029	2	124-125	"Refractive amblyopia, unspecified eye"
H53031	2	124-125	"Strabismic amblyopia, right eye"
H53032	2	124-125	"Strabismic amblyopia, left eye"
H53033	2	124-125	"Strabismic amblyopia, bilateral"
H53039	2	124-125	"Strabismic amblyopia, unspecified eye"
H5310	2	124-125	Unspecified subjective visual disturbances
H5311	2	124-125	Day blindness
H53121	2	123	"Transient visual loss, right eye"
H53122	2	123	"Transient visual loss, left eye"
H53123	2	123	"Transient visual loss, bilateral"
H53129	2	123	"Transient visual loss, unspecified eye"
H53131	2	123	"Sudden visual loss, right eye"
H53132	2	123	"Sudden visual loss, left eye"
H53133	2	123	"Sudden visual loss, bilateral"
H53139	2	123	"Sudden visual loss, unspecified eye"
H53141	2	124-125	"Visual discomfort, right eye"
H53142	2	124-125	"Visual discomfort, left eye"
H53143	2	124-125	"Visual discomfort, bilateral"
H53149	2	124-125	"Visual discomfort, unspecified"
H5315	2	124-125	Visual distortions of shape and size
H5316	2	124-125	Psychophysical visual disturbances
H5319	2	124-125	Other subjective visual disturbances
H532	2	123	Diplopia
H5330	2	124-125	Unspecified disorder of binocular vision
H5331	2	124-125	Abnormal retinal correspondence
H5332	2	124-125	Fusion with defective stereopsis
H5333	2	124-125	Simultaneous visual perception without fusion
H5334	2	124-125	Suppression of binocular vision
H5340	2	123	Unspecified visual field defects
H53411	2	123	"Scotoma involving central area, right eye"
H53412	2	123	"Scotoma involving central area, left eye"
H53413	2	123	"Scotoma involving central area, bilateral"
H53419	2	123	"Scotoma involving central area, unspecified eye"
H53421	2	124-125	"Scotoma of blind spot area, right eye"
H53422	2	124-125	"Scotoma of blind spot area, left eye"
H53423	2	124-125	"Scotoma of blind spot area, bilateral"
H53429	2	124-125	"Scotoma of blind spot area, unspecified eye"
H53431	2	123	"Sector or arcuate defects, right eye"
H53432	2	123	"Sector or arcuate defects, left eye"
H53433	2	123	"Sector or arcuate defects, bilateral"
H53439	2	123	"Sector or arcuate defects, unspecified eye"
H53451	2	123	"Other localized visual field defect, right eye"
H53452	2	123	"Other localized visual field defect, left eye"
H53453	2	123	"Other localized visual field defect, bilateral"
H53459	2	123	"Other localized visual field defect, unspecified eye"
H53461	2	123	"Homonymous bilateral field defects, right side"
H53462	2	123	"Homonymous bilateral field defects, left side"
H53469	2	123	"Homonymous bilateral field defects, unspecified side"
H5347	2	123	Heteronymous bilateral field defects
H53481	2	123	"Generalized contraction of visual field, right eye"
H53482	2	123	"Generalized contraction of visual field, left eye"
H53483	2	123	"Generalized contraction of visual field, bilateral"
H53489	2	123	"Generalized contraction of visual field, unspecified eye"
H5350	2	124-125	Unspecified color vision deficiencies
H5351	2	124-125	Achromatopsia
H5352	2	123	Acquired color vision deficiency
H5353	2	124-125	Deuteranomaly
H5354	2	124-125	Protanomaly
H5355	2	124-125	Tritanomaly
H5359	2	124-125	Other color vision deficiencies
H5360	2	124-125	Unspecified night blindness
H5361	2	124-125	Abnormal dark adaptation curve
H5362	2	124-125	Acquired night blindness
H5363	2	124-125	Congenital night blindness
H5369	2	124-125	Other night blindness
H5371	2	124-125	Glare sensitivity
H5372	2	124-125	Impaired contrast sensitivity
H538	2	124-125	Other visual disturbances
H539	2	124-125	Unspecified visual disturbance
H540	2	124-125	"Blindness, both eyes"
H5410	2	124-125	"Blindness, one eye, low vision other eye, unspecified eyes"
H5411	2	124-125	"Blindness, right eye, low vision left eye"
H5412	2	124-125	"Blindness, left eye, low vision right eye"
H542	2	124-125	"Low vision, both eyes"
H543	2	124-125	"Unqualified visual loss, both eyes"
H5440	2	124-125	"Blindness, one eye, unspecified eye"
H5441	2	124-125	"Blindness, right eye, normal vision left eye"
H5442	2	124-125	"Blindness, left eye, normal vision right eye"
H5450	2	124-125	"Low vision, one eye, unspecified eye"
H5451	2	124-125	"Low vision, right eye, normal vision left eye"
H5452	2	124-125	"Low vision, left eye, normal vision right eye"
H5460	2	124-125	"Unqualified visual loss, one eye, unspecified"
H5461	2	124-125	"Unqualified visual loss, right eye, normal vision left eye"
H5462	2	124-125	"Unqualified visual loss, left eye, normal vision right eye"
H547	2	124-125	Unspecified visual loss
H548	2	124-125	"Legal blindness, as defined in USA"
H5500	2	123	Unspecified nystagmus
H5501	2	124-125	Congenital nystagmus
H5502	2	123	Latent nystagmus
H5503	2	124-125	Visual deprivation nystagmus
H5504	2	123	Dissociated nystagmus
H5509	2	124-125	Other forms of nystagmus
H5581	2	123	Saccadic eye movements
H5589	2	124-125	Other irregular eye movements
H5700	2	123	Unspecified anomaly of pupillary function
H5701	1	056-057	"Argyll Robertson pupil, atypical"
H5702	2	123	Anisocoria
H5703	2	123	Miosis
H5704	2	123	Mydriasis
H57051	2	123	"Tonic pupil, right eye"
H57052	2	123	"Tonic pupil, left eye"
H57053	2	123	"Tonic pupil, bilateral"
H57059	2	123	"Tonic pupil, unspecified eye"
H5709	2	123	Other anomalies of pupillary function
H5710	2	124-125	"Ocular pain, unspecified eye"
H5711	2	124-125	"Ocular pain, right eye"
H5712	2	124-125	"Ocular pain, left eye"
H5713	2	124-125	"Ocular pain, bilateral"
H578	2	124-125	Other specified disorders of eye and adnexa
H579	2	124-125	Unspecified disorder of eye and adnexa
H59011	21	919-921	"Keratopathy (bullous aphakic) following cataract surgery, right eye"
H59012	21	919-921	"Keratopathy (bullous aphakic) following cataract surgery, left eye"
H59013	21	919-921	"Keratopathy (bullous aphakic) following cataract surgery, bilateral"
H59019	21	919-921	"Keratopathy (bullous aphakic) following cataract surgery, unspecified eye"
H59021	2	124-125	"Cataract (lens) fragments in eye following cataract surgery, right eye"
H59022	2	124-125	"Cataract (lens) fragments in eye following cataract surgery, left eye"
H59023	2	124-125	"Cataract (lens) fragments in eye following cataract surgery, bilateral"
H59029	2	124-125	"Cataract (lens) fragments in eye following cataract surgery, unspecified eye"
H59031	21	919-921	"Cystoid macular edema following cataract surgery, right eye"
H59032	21	919-921	"Cystoid macular edema following cataract surgery, left eye"
H59033	21	919-921	"Cystoid macular edema following cataract surgery, bilateral"
H59039	21	919-921	"Cystoid macular edema following cataract surgery, unspecified eye"
H59091	21	919-921	Other disorders of the right eye following cataract surgery
H59092	21	919-921	Other disorders of the left eye following cataract surgery
H59093	21	919-921	"Other disorders of the eye following cataract surgery, bilateral"
H59099	21	919-921	Other disorders of unspecified eye following cataract surgery
H59111	21	919-921	Intraoperative hemorrhage and hematoma of right eye and adnexa complicating an ophthalmic procedure
H59112	21	919-921	Intraoperative hemorrhage and hematoma of left eye and adnexa complicating an ophthalmic procedure
H59113	21	919-921	"Intraoperative hemorrhage and hematoma of eye and adnexa complicating an ophthalmic procedure, bilateral"
H59119	21	919-921	Intraoperative hemorrhage and hematoma of unspecified eye and adnexa complicating an ophthalmic procedure
H59121	21	919-921	Intraoperative hemorrhage and hematoma of right eye and adnexa complicating other procedure
H59122	21	919-921	Intraoperative hemorrhage and hematoma of left eye and adnexa complicating other procedure
H59123	21	919-921	"Intraoperative hemorrhage and hematoma of eye and adnexa complicating other procedure, bilateral"
H59129	21	919-921	Intraoperative hemorrhage and hematoma of unspecified eye and adnexa complicating other procedure
H59211	15	793	Accidental puncture and laceration of right eye and adnexa during an ophthalmic procedure
	21	919-921	
H59212	15	793	Accidental puncture and laceration of left eye and adnexa during an ophthalmic procedure
	21	919-921	
H59213	15	793	"Accidental puncture and laceration of eye and adnexa during an ophthalmic procedure, bilateral"
	21	919-921	
H59219	15	793	Accidental puncture and laceration of unspecified eye and adnexa during an ophthalmic procedure
	21	919-921	
H59221	15	793	Accidental puncture and laceration of right eye and adnexa during other procedure
	21	919-921	
H59222	15	793	Accidental puncture and laceration of left eye and adnexa during other procedure
	21	919-921	
H59223	15	793	"Accidental puncture and laceration of eye and adnexa during other procedure, bilateral"
	21	919-921	
H59229	15	793	Accidental puncture and laceration of unspecified eye and adnexa during other procedure
	21	919-921	
H59311	21	919-921	Postprocedural hemorrhage and hematoma of right eye and adnexa following an ophthalmic procedure
H59312	21	919-921	Postprocedural hemorrhage and hematoma of left eye and adnexa following an ophthalmic procedure
H59313	21	919-921	"Postprocedural hemorrhage and hematoma of eye and adnexa following an ophthalmic procedure, bilateral"
H59319	21	919-921	Postprocedural hemorrhage and hematoma of unspecified eye and adnexa following an ophthalmic procedure
H59321	21	919-921	Postprocedural hemorrhage and hematoma of right eye and adnexa following other procedure
H59322	21	919-921	Postprocedural hemorrhage and hematoma of left eye and adnexa following other procedure
H59323	21	919-921	"Postprocedural hemorrhage and hematoma of eye and adnexa following other procedure, bilateral"
H59329	21	919-921	Postprocedural hemorrhage and hematoma of unspecified eye and adnexa following other procedure
H5940	2	124-125	"Inflammation (infection) of postprocedural bleb, unspecified"
H5941	2	124-125	"Inflammation (infection) of postprocedural bleb, stage 1"
H5942	2	124-125	"Inflammation (infection) of postprocedural bleb, stage 2"
H5943	2	124-125	"Inflammation (infection) of postprocedural bleb, stage 3"
H59811	21	919-921	"Chorioretinal scars after surgery for detachment, right eye"
H59812	21	919-921	"Chorioretinal scars after surgery for detachment, left eye"
H59813	21	919-921	"Chorioretinal scars after surgery for detachment, bilateral"
H59819	21	919-921	"Chorioretinal scars after surgery for detachment, unspecified eye"
H5988	21	919-921	"Other intraoperative complications of eye and adnexa, not elsewhere classified"
H5989	21	919-921	"Other postprocedural complications and disorders of eye and adnexa, not elsewhere classified"
H6000	3	154-156	"Abscess of external ear, unspecified ear"
H6001	3	154-156	Abscess of right external ear
H6002	3	154-156	Abscess of left external ear
H6003	3	154-156	"Abscess of external ear, bilateral"
H6010	3	154-156	"Cellulitis of external ear, unspecified ear"
H6011	3	154-156	Cellulitis of right external ear
H6012	3	154-156	Cellulitis of left external ear
H6013	3	154-156	"Cellulitis of external ear, bilateral"
H6020	3	154-156	"Malignant otitis externa, unspecified ear"
H6021	3	154-156	"Malignant otitis externa, right ear"
H6022	3	154-156	"Malignant otitis externa, left ear"
H6023	3	154-156	"Malignant otitis externa, bilateral"
H60311	3	154-156	"Diffuse otitis externa, right ear"
H60312	3	154-156	"Diffuse otitis externa, left ear"
H60313	3	154-156	"Diffuse otitis externa, bilateral"
H60319	3	154-156	"Diffuse otitis externa, unspecified ear"
H60321	3	154-156	"Hemorrhagic otitis externa, right ear"
H60322	3	154-156	"Hemorrhagic otitis externa, left ear"
H60323	3	154-156	"Hemorrhagic otitis externa, bilateral"
H60329	3	154-156	"Hemorrhagic otitis externa, unspecified ear"
H60331	3	154-156	"Swimmer's ear, right ear"
H60332	3	154-156	"Swimmer's ear, left ear"
H60333	3	154-156	"Swimmer's ear, bilateral"
H60339	3	154-156	"Swimmer's ear, unspecified ear"
H60391	3	154-156	"Other infective otitis externa, right ear"
H60392	3	154-156	"Other infective otitis externa, left ear"
H60393	3	154-156	"Other infective otitis externa, bilateral"
H60399	3	154-156	"Other infective otitis externa, unspecified ear"
H6040	3	154-156	"Cholesteatoma of external ear, unspecified ear"
H6041	3	154-156	Cholesteatoma of right external ear
H6042	3	154-156	Cholesteatoma of left external ear
H6043	3	154-156	"Cholesteatoma of external ear, bilateral"
H60501	3	154-156	"Unspecified acute noninfective otitis externa, right ear"
H60502	3	154-156	"Unspecified acute noninfective otitis externa, left ear"
H60503	3	154-156	"Unspecified acute noninfective otitis externa, bilateral"
H60509	3	154-156	"Unspecified acute noninfective otitis externa, unspecified ear"
H60511	3	154-156	"Acute actinic otitis externa, right ear"
H60512	3	154-156	"Acute actinic otitis externa, left ear"
H60513	3	154-156	"Acute actinic otitis externa, bilateral"
H60519	3	154-156	"Acute actinic otitis externa, unspecified ear"
H60521	3	154-156	"Acute chemical otitis externa, right ear"
H60522	3	154-156	"Acute chemical otitis externa, left ear"
H60523	3	154-156	"Acute chemical otitis externa, bilateral"
H60529	3	154-156	"Acute chemical otitis externa, unspecified ear"
H60531	3	154-156	"Acute contact otitis externa, right ear"
H60532	3	154-156	"Acute contact otitis externa, left ear"
H60533	3	154-156	"Acute contact otitis externa, bilateral"
H60539	3	154-156	"Acute contact otitis externa, unspecified ear"
H60541	3	154-156	"Acute eczematoid otitis externa, right ear"
H60542	3	154-156	"Acute eczematoid otitis externa, left ear"
H60543	3	154-156	"Acute eczematoid otitis externa, bilateral"
H60549	3	154-156	"Acute eczematoid otitis externa, unspecified ear"
H60551	3	154-156	"Acute reactive otitis externa, right ear"
H60552	3	154-156	"Acute reactive otitis externa, left ear"
H60553	3	154-156	"Acute reactive otitis externa, bilateral"
H60559	3	154-156	"Acute reactive otitis externa, unspecified ear"
H60591	3	154-156	"Other noninfective acute otitis externa, right ear"
H60592	3	154-156	"Other noninfective acute otitis externa, left ear"
H60593	3	154-156	"Other noninfective acute otitis externa, bilateral"
H60599	3	154-156	"Other noninfective acute otitis externa, unspecified ear"
H6060	3	154-156	"Unspecified chronic otitis externa, unspecified ear"
H6061	3	154-156	"Unspecified chronic otitis externa, right ear"
H6062	3	154-156	"Unspecified chronic otitis externa, left ear"
H6063	3	154-156	"Unspecified chronic otitis externa, bilateral"
H608X1	3	154-156	"Other otitis externa, right ear"
H608X2	3	154-156	"Other otitis externa, left ear"
H608X3	3	154-156	"Other otitis externa, bilateral"
H608X9	3	154-156	"Other otitis externa, unspecified ear"
H6090	3	154-156	"Unspecified otitis externa, unspecified ear"
H6091	3	154-156	"Unspecified otitis externa, right ear"
H6092	3	154-156	"Unspecified otitis externa, left ear"
H6093	3	154-156	"Unspecified otitis externa, bilateral"
H61001	3	152-153	Unspecified perichondritis of right external ear
H61002	3	152-153	Unspecified perichondritis of left external ear
H61003	3	152-153	"Unspecified perichondritis of external ear, bilateral"
H61009	3	152-153	"Unspecified perichondritis of external ear, unspecified ear"
H61011	8	564-566	Acute perichondritis of right external ear
H61012	8	564-566	Acute perichondritis of left external ear
H61013	8	564-566	"Acute perichondritis of external ear, bilateral"
H61019	8	564-566	"Acute perichondritis of external ear, unspecified ear"
H61021	8	564-566	Chronic perichondritis of right external ear
H61022	8	564-566	Chronic perichondritis of left external ear
H61023	8	564-566	"Chronic perichondritis of external ear, bilateral"
H61029	8	564-566	"Chronic perichondritis of external ear, unspecified ear"
H61031	8	564-566	Chondritis of right external ear
H61032	8	564-566	Chondritis of left external ear
H61033	8	564-566	"Chondritis of external ear, bilateral"
H61039	8	564-566	"Chondritis of external ear, unspecified ear"
H61101	3	154-156	"Unspecified noninfective disorders of pinna, right ear"
H61102	3	154-156	"Unspecified noninfective disorders of pinna, left ear"
H61103	3	154-156	"Unspecified noninfective disorders of pinna, bilateral"
H61109	3	154-156	"Unspecified noninfective disorders of pinna, unspecified ear"
H61111	3	154-156	"Acquired deformity of pinna, right ear"
H61112	3	154-156	"Acquired deformity of pinna, left ear"
H61113	3	154-156	"Acquired deformity of pinna, bilateral"
H61119	3	154-156	"Acquired deformity of pinna, unspecified ear"
H61121	3	154-156	"Hematoma of pinna, right ear"
H61122	3	154-156	"Hematoma of pinna, left ear"
H61123	3	154-156	"Hematoma of pinna, bilateral"
H61129	3	154-156	"Hematoma of pinna, unspecified ear"
H61191	3	154-156	"Noninfective disorders of pinna, right ear"
H61192	3	154-156	"Noninfective disorders of pinna, left ear"
H61193	3	154-156	"Noninfective disorders of pinna, bilateral"
H61199	3	154-156	"Noninfective disorders of pinna, unspecified ear"
H6120	3	154-156	"Impacted cerumen, unspecified ear"
H6121	3	154-156	"Impacted cerumen, right ear"
H6122	3	154-156	"Impacted cerumen, left ear"
H6123	3	154-156	"Impacted cerumen, bilateral"
H61301	3	154-156	"Acquired stenosis of right external ear canal, unspecified"
H61302	3	154-156	"Acquired stenosis of left external ear canal, unspecified"
H61303	3	154-156	"Acquired stenosis of external ear canal, unspecified, bilateral"
H61309	3	154-156	"Acquired stenosis of external ear canal, unspecified, unspecified ear"
H61311	3	154-156	Acquired stenosis of right external ear canal secondary to trauma
H61312	3	154-156	Acquired stenosis of left external ear canal secondary to trauma
H61313	3	154-156	"Acquired stenosis of external ear canal secondary to trauma, bilateral"
H61319	3	154-156	"Acquired stenosis of external ear canal secondary to trauma, unspecified ear"
H61321	3	154-156	Acquired stenosis of right external ear canal secondary to inflammation and infection
H61322	3	154-156	Acquired stenosis of left external ear canal secondary to inflammation and infection
H61323	3	154-156	"Acquired stenosis of external ear canal secondary to inflammation and infection, bilateral"
H61329	3	154-156	"Acquired stenosis of external ear canal secondary to inflammation and infection, unspecified ear"
H61391	3	154-156	Other acquired stenosis of right external ear canal
H61392	3	154-156	Other acquired stenosis of left external ear canal
H61393	3	154-156	"Other acquired stenosis of external ear canal, bilateral"
H61399	3	154-156	"Other acquired stenosis of external ear canal, unspecified ear"
H61811	3	154-156	Exostosis of right external canal
H61812	3	154-156	Exostosis of left external canal
H61813	3	154-156	"Exostosis of external canal, bilateral"
H61819	3	154-156	"Exostosis of external canal, unspecified ear"
H61891	3	154-156	Other specified disorders of right external ear
H61892	3	154-156	Other specified disorders of left external ear
H61893	3	154-156	"Other specified disorders of external ear, bilateral"
H61899	3	154-156	"Other specified disorders of external ear, unspecified ear"
H6190	3	154-156	"Disorder of external ear, unspecified, unspecified ear"
H6191	3	154-156	"Disorder of right external ear, unspecified"
H6192	3	154-156	"Disorder of left external ear, unspecified"
H6193	3	154-156	"Disorder of external ear, unspecified, bilateral"
H6240	3	154-156	"Otitis externa in other diseases classified elsewhere, unspecified ear"
H6241	3	154-156	"Otitis externa in other diseases classified elsewhere, right ear"
H6242	3	154-156	"Otitis externa in other diseases classified elsewhere, left ear"
H6243	3	154-156	"Otitis externa in other diseases classified elsewhere, bilateral"
H628X1	3	154-156	Other disorders of right external ear in diseases classified elsewhere
H628X2	3	154-156	Other disorders of left external ear in diseases classified elsewhere
H628X3	3	154-156	"Other disorders of external ear in diseases classified elsewhere, bilateral"
H628X9	3	154-156	"Other disorders of external ear in diseases classified elsewhere, unspecified ear"
H6500	3	152-153	"Acute serous otitis media, unspecified ear"
H6501	3	152-153	"Acute serous otitis media, right ear"
H6502	3	152-153	"Acute serous otitis media, left ear"
H6503	3	152-153	"Acute serous otitis media, bilateral"
H6504	3	152-153	"Acute serous otitis media, recurrent, right ear"
H6505	3	152-153	"Acute serous otitis media, recurrent, left ear"
H6506	3	152-153	"Acute serous otitis media, recurrent, bilateral"
H6507	3	152-153	"Acute serous otitis media, recurrent, unspecified ear"
H65111	3	152-153	"Acute and subacute allergic otitis media (mucoid) (sanguinous) (serous), right ear"
H65112	3	152-153	"Acute and subacute allergic otitis media (mucoid) (sanguinous) (serous), left ear"
H65113	3	152-153	"Acute and subacute allergic otitis media (mucoid) (sanguinous) (serous), bilateral"
